# Exact known source-layout debt. This is not an exception ledger: every row
# remains a failure in tools/audit_source_layout.sh and must be removed. The
# xtask layout gate prevents a new violation from hiding behind a reduced count.
#
# A size row carries the line count it was admitted at, and that number is a
# ceiling rather than a measurement: the file may shrink freely, and a commit
# that pushes it past the number fails the gate until someone raises it on
# purpose. Without it a ledgered file was never measured again, which is how
# one test file reached forty thousand lines with this gate green throughout.
inline-tests crates/sophia-backend-live/src/runtime/page_flip.rs
inline-tests crates/sophia-cli/src/commands/x_authority/external_probe.rs
inline-tests crates/sophia-conformance/src/desktop_comparison/capture_owner.rs
inline-tests crates/sophia-conformance/src/desktop_comparison/capture_owner/trace.rs
inline-tests crates/sophia-conformance/src/desktop_comparison/capture_owner/workload.rs
inline-tests crates/sophia-session/src/live_session.rs
inline-tests crates/sophia-session/src/live_session/input.rs
inline-tests crates/sophia-session/src/live_session/wm/public_policy.rs
inline-tests crates/sophia-session/src/live_session/wm/session.rs
inline-tests crates/sophia-x-authority/src/x11_socket/connection/dispatch.rs
large crates/sophia-backend-live/src/production_session/native_scanout.rs 4171
large crates/sophia-backend-live/src/production_session/native_scanout/persistent_native_scanout/renderer_images.rs 1191
large crates/sophia-backend-live/src/production_session/native_scanout/persistent_native_scanout/topology.rs 3101
large crates/sophia-backend-live/src/production_visual_runtime.rs 1842
large crates/sophia-backend-live/tests/libdrm_events_feature/scanout_submission.rs 1532
large crates/sophia-conformance/src/desktop_comparison.rs 1300
large crates/sophia-conformance/src/desktop_comparison/capture_owner.rs 1342
large crates/sophia-engine/src/composition_plan.rs 1389
large crates/sophia-engine/src/compositor_graphics.rs 1138
large crates/sophia-protocol/src/ipc/wm_v1_records.rs 1749
large crates/sophia-renderer-live/src/native_scanout.rs 1570
large crates/sophia-session/src/live_session.rs 1330
large crates/sophia-session/src/live_session/config.rs 1452
large crates/sophia-session/src/live_session/input.rs 1954
large crates/sophia-session/src/live_session/owner_loop/completion.rs 1519
large crates/sophia-session/src/live_session/owner_loop/lifecycle.rs 1447
large crates/sophia-session/src/live_session/owner_loop/physical_input_phase.rs 1564
large crates/sophia-session/src/live_session/tests.rs 1582
large crates/sophia-session/src/live_session/tests/input_policy_tests.rs 1479
large crates/sophia-session/src/live_session/tests/session_config_tests.rs 1782
large crates/sophia-session/src/live_session/tests/wm_session_tests.rs 1638
large crates/sophia-session/src/live_session/wm/layout.rs 1387
large crates/sophia-session/src/live_session/wm/public_policy.rs 3053
large crates/sophia-session/tests/support/private_input_session.rs 2808
large crates/sophia-x-authority/src/dispatch.rs 1222
large crates/sophia-x-authority/src/property.rs 1136
large crates/sophia-x-authority/src/wire.rs 1648
large crates/sophia-x-authority/src/x11_socket/connection/server.rs 1301
large crates/sophia-x-authority/src/x11_socket/tests.rs 1444
large crates/sophia-x-authority/tests/authority/resources.rs 1614
large crates/sophia-x-authority/tests/support/m3_acceptance_c.rs 5144
large crates/sophia-x-authority/tests/x11_wire/core_dispatch.rs 1627
large crates/sophia-x-authority/tests/x11_wire/extensions_dispatch.rs 5543
large crates/sophia-x-authority/tests/x11_wire/properties_dispatch.rs 1747
large crates/sophia-x-authority/tests/x11_wire/resources_frontend.rs 2114
large crates/sophia-x-authority/tests/x11_wire/support_extensions.rs 1502
